Idx,Filename,Size_MB,Operation,Serial_s,OMP_2,OMP_4,OMP_8,CU_128,CU_256,CU_512
47,sample47.txt,2.64106,Encryption,0.642244,0.306888,0.160587,0.157017,0.0078629,0.0080272,0.0080699
47,sample47.txt,2.64106,Decryption,0.596253,0.332307,0.180541,0.181251,0.0085604,0.0084573,0.0086088
48,sample48.txt,3.0336,Encryption,0.791817,0.381066,0.197649,0.191632,0.0095565,0.0096735,0.009325
48,sample48.txt,3.0336,Decryption,0.75884,0.359603,0.182124,0.190836,0.0091896,0.0094576,0.0100653
49,sample49.txt,3.48448,Encryption,0.927311,0.420944,0.214893,0.217965,0.0103276,0.0136014,0.0106671
49,sample49.txt,3.48448,Decryption,0.83942,0.425436,0.221641,0.233858,0.0106881,0.0111198,0.0108069
50,sample50.txt,4.00238,Encryption,1.05388,0.441268,0.234262,0.252537,0.0124419,0.0127598,0.0125524
50,sample50.txt,4.00238,Decryption,0.992401,0.498786,0.269717,0.264131,0.0125342,0.0127927,0.0129351
51,sample51.txt,4.59726,Encryption,1.14535,0.504347,0.260779,0.268783,0.0144449,0.016862,0.0145986
51,sample51.txt,4.59726,Decryption,1.16122,0.652814,0.292324,0.288415,0.0144361,0.0146518,0.0146192
52,sample52.txt,5.28055,Encryption,1.32705,0.59453,0.308498,0.328042,0.0165018,0.0163661,0.0165193
52,sample52.txt,5.28055,Decryption,1.43114,0.644698,0.332716,0.326505,0.0161183,0.0169368,0.0164114
53,sample53.txt,6.06539,Encryption,1.51269,0.676216,0.357289,0.373162,0.018713,0.0192664,0.0190779
53,sample53.txt,6.06539,Decryption,1.70751,0.77442,0.359922,0.360098,0.0188312,0.0195528,0.0196179
54,sample54.txt,6.96689,Encryption,1.67247,0.780798,0.414843,0.415031,0.0212411,0.0217904,0.0191682
54,sample54.txt,6.96689,Decryption,1.99648,0.733786,0.392357,0.462427,0.0213984,0.0220675,0.022327
55,sample55.txt,8.00238,Encryption,1.9285,0.924124,0.49192,0.532177,0.0239868,0.0254751,0.0250052
55,sample55.txt,8.00238,Decryption,2.08952,0.965517,0.530969,0.544327,0.024304,0.0260267,0.0259086
56,sample56.txt,9.19178,Encryption,1.97382,1.08629,0.624873,0.643177,0.0277109,0.0324998,0.0282522
56,sample56.txt,9.19178,Decryption,2.56251,1.03872,0.556628,0.557946,0.0276555,0.0281665,0.0287144
57,sample57.txt,10.558,Encryption,2.41556,1.1624,0.629798,0.788944,0.0314673,0.0320069,0.0251108
57,sample57.txt,10.558,Decryption,2.83612,1.16835,0.649267,0.673394,0.031254,0.0320266,0.0328967
58,sample58.txt,12.1272,Encryption,2.74527,1.32425,0.818154,1.23063,0.0352639,0.0366559,0.0366443
58,sample58.txt,12.1272,Decryption,3.19125,1.38197,0.802631,0.929667,0.0356412,0.0366467,0.0370513
59,sample59.txt,13.9296,Encryption,3.46137,1.62536,0.853954,0.915769,0.0406893,0.0446447,0.0418088
59,sample59.txt,13.9296,Decryption,3.52542,1.59858,0.847569,0.948241,0.0409186,0.0417999,0.0437386
60,sample60.txt,16,Encryption,3.66734,1.83103,1.04126,1.21564,0.0464509,0.0423951,0.0350265
60,sample60.txt,16,Decryption,4.2526,1.73212,1.05068,1.25728,0.0465277,0.0418388,0.0449251
61,sample61.txt,17.6,Encryption,4.13095,1.98965,1.14579,1.38299,0.049903,0.0464036,0.0379921
61,sample61.txt,17.6,Decryption,4.74069,1.99183,1.19787,1.34462,0.0503103,0.0462108,0.0383515
62,sample62.txt,19.5373,Encryption,4.59832,2.22628,1.41837,1.5681,0.0555212,0.0520078,0.0426015
62,sample62.txt,19.5373,Decryption,4.90271,2.24874,1.51285,1.49554,0.0559651,0.0583688,0.0582852
63,sample63.txt,21.6879,Encryption,5.07204,2.74074,1.74013,1.80433,0.0623225,0.0639618,0.0641716
63,sample63.txt,21.6879,Decryption,5.33802,2.51885,1.40159,1.7362,0.0624158,0.0646673,0.0687546
64,sample64.txt,24.0752,Encryption,5.75088,2.7806,1.58972,1.93642,0.0710337,0.0740064,0.0725735
64,sample64.txt,24.0752,Decryption,5.95646,3.14084,1.63259,1.73888,0.0693944,0.0725376,0.054693
65,sample65.txt,26.7253,Encryption,6.53494,3.41181,2.15758,2.32874,0.0767397,0.0940859,0.0801323
65,sample65.txt,26.7253,Decryption,7.23525,3.24663,1.76202,2.21948,0.0765033,0.0707299,0.0571408
66,sample66.txt,29.6671,Encryption,7.19272,3.60704,2.26787,2.53278,0.0839868,0.0864641,0.0677292
66,sample66.txt,29.6671,Decryption,7.33851,3.7092,2.00347,2.35479,0.0837608,0.0741537,0.0510223
67,sample67.txt,32.9327,Encryption,7.75123,4.04056,2.48732,2.64876,0.0931003,0.0971707,0.086152
67,sample67.txt,32.9327,Decryption,8.1523,3.81285,2.26713,2.8475,0.0894682,0.0722729,0.0702331
68,sample68.txt,36.5578,Encryption,8.36813,4.45681,2.43849,2.72929,0.0916507,0.0779991,0.0775084
68,sample68.txt,36.5578,Decryption,8.98489,4.84194,2.77027,3.17253,0.10276,0.110683,0.0926739
69,sample69.txt,40.5819,Encryption,9.6119,5.14127,3.00376,3.54142,0.115436,0.121344,0.0892349
69,sample69.txt,40.5819,Decryption,10.1234,5.60887,3.28253,3.69621,0.114549,0.104259,0.0850168
70,sample70.txt,45.049,Encryption,11.1981,5.41293,3.26275,3.6317,0.116333,0.0946659,0.100079
70,sample70.txt,45.049,Decryption,11.2888,5.33603,3.28855,3.6438,0.126233,0.134855,0.0796294
71,sample71.txt,50.0078,Encryption,11.9361,6.39719,3.46044,3.97762,0.138627,0.120535,0.0917354
71,sample71.txt,50.0078,Decryption,12.3117,6.07131,3.50014,3.97075,0.14052,0.120824,0.0899504
72,sample72.txt,55.5124,Encryption,13.3227,6.85416,4.13766,4.21509,0.138336,0.116898,0.107682
72,sample72.txt,55.5124,Decryption,13.6101,6.78923,3.79255,4.10289,0.155166,0.140865,0.093363
73,sample73.txt,61.623,Encryption,14.403,7.59305,4.75175,4.75389,0.160013,0.104964,0.103518
73,sample73.txt,61.623,Decryption,15.2384,7.42051,4.70207,4.65743,0.171612,0.106478,0.107424
